"医 療 機 関 名 称","医療機関所在地",""電話番号","開設者氏名","管理者氏名","備　考"
"さくら薬局　板橋蓮沼店","〒174－0052 板橋区蓮沼町２０番１２号","03-3558-0860","クラフト　株式会社　代表取締役　大塚　吉史","深澤　信奈子","薬局現存"
"あじさい薬局","〒174－0063 板橋区前野町六丁目３４番１２号　１０４　グレイス常盤台","03-5915-8877","イントロン　株式会社　代表取締役　増子　治樹","毛利　仁美","薬局現存"
"西台ファミリー薬局","〒175－0045 板橋区西台四丁目５番６号","03-3932-9800","株式会社　グラム　代表取締役　中川　広美","竹永　秀幸","薬局現存"
"高島通り薬局","〒175－0082 板橋区高島平八丁目２番２号","03-5921-1480","一般社団法人　東京メディエール　代表理事　武井　ふみ子","小野　惠美","薬局現存"
"ミヤモト薬局　成増店","〒175－0094 板橋区成増二丁目１７番１９号","03-3976-3410","株式会社　宮本薬局　代表取締役　宮本　幸俊","山田　菜穂子","薬局現存"
"上板橋鈴薬局","〒174－0071 板橋区常盤台四丁目３５番１２号　１０１号","03-5921-0361","株式会社　エスシーグループ　代表取締役　皿澤　康孝","及川　和佳","薬局現存"
"まんまる薬局","〒174－0076 板橋区上板橋二丁目４０番８号　フレンディー上板橋１階","03-6913-0326","株式会社　ｈｉｔｏｔｏｆｒｏｍ　代表取締役　松岡　光洋","杉本　友里","薬局現存"
"カネヨ薬局","〒174－0046 板橋区蓮根三丁目１４番１号","03-3966-9035","株式会社　サンリッチ　代表取締役　赤津　双葉","佐藤　裕子","薬局現存"
"カネヨ薬局　徳丸店","〒175－0083 板橋区徳丸二丁目１４番８号　２カラットステート１階","03-3931-8551","株式会社　サンリッチ　代表取締役　赤津　双葉","新井　真佐美","薬局現存"
"十字堂薬局　板橋店","〒174－0044 板橋区相生町４番５号","03-3559-9545","セントラルメディカル　株式会社　代表取締役　菊池　武夫","福島　弘道","薬局現存"
"仁天堂薬局","〒174－0046 板橋区蓮根二丁目２０番２１号","03-5948-7872","有限会社　仁天堂薬局　代表取締役　新藤　喜代子","新藤　喜代子","薬局現存"
"あかつき薬局","〒174－0076 板橋区上板橋二丁目８番１７号","03-3934-8099","有限会社　サポートテック　代表取締役　中村　譲","永井　明","薬局現存"
"まい薬局","〒174－0043 板橋区坂下二丁目２６番１９号　ダイヤモンドマンション１階Ｂ","03-5392-5353","村越　和幸","村越　和幸","薬局現存"
"おんだ薬局","〒173－0023 板橋区大山町５７番８号　１階","03-3973-0126","有限会社　オンズ　代表取締役　恩田　康信","鬼倉　和世","薬局現存"
"鈴薬局　板橋二丁目店","〒173－0004 板橋区板橋二丁目６５番１０号　恵和会サービスセンタービル１０２","03-5943-6680","株式会社　エスシーグループ　代表取締役　皿澤　康孝","大田　詩織","薬局現存"
"ハジメ薬局","〒175－0094 板橋区成増三丁目４番１６号","03-5997-0001","クラフト　株式会社　代表取締役　大塚　吉史","小島　俊紀","薬局現存"
"ドラッグセイムス　高島平薬局","〒175－0082 板橋区高島平四丁目２３番１１号","03-5968-1025","株式会社　富士薬品　代表取締役　高柳　昌幸","川田　早紀","薬局現存"
"アサヒ薬局　板橋仲宿店","〒173－0004 板橋区板橋三丁目９番１３号　野間ビル１階","03-6795-9080","銀座医薬品　株式会社　代表取締役　柳澤　一平","原　昌平","薬局現存"
"栄愛薬局","〒175－0082 板橋区高島平三丁目１０番１－１３８号","03-6909-2341","合同会社　スミクル　代表社員　鈴木　陽代","鈴木　陽代","薬局現存"
"スギ薬局　赤塚新町店","〒175－0093 板橋区赤塚新町二丁目１番５号　シティライフ赤塚１階","03-6904-2132","株式会社　スギ薬局　代表取締役　原　栄一","栗山　晴那","薬局現存"
"龍生堂薬局　大山店","〒173－0015 板橋区栄町１９番６号","03-5944-4193","株式会社　龍生堂本店　代表取締役　関口　周吉","伊藤　大","薬局現存"
"クオール薬局　大山店","〒173－0015 板橋区栄町２８番４号","03-5248-1595","クオール　株式会社　代表取締役　荒木　勲","松山　香菜子","薬局現存"
"クオール薬局　中板橋店","〒173－0016 板橋区中板橋２０番１－１０３号　モダ・ビエント中板橋プラシア","03-5944-7164","クオール　株式会社　代表取締役　荒木　勲","在原　慧子","薬局現存"
"クオール薬局　高島平店","〒175－0082 板橋区高島平八丁目１５番６－１０６号　メゾン高橋","03-5922-1388","クオール　株式会社　代表取締役　荒木　勲","荻野　千尋","薬局現存"
"ローソンクオール薬局　板橋蓮根二丁目店","〒174－0046 板橋区蓮根二丁目２７番１２号","03-5916-6089","クオール　株式会社　代表取締役　荒木　勲","星　浩貴","薬局現存"
"薬局トモズ　下赤塚店","〒175－0092 板橋区赤塚二丁目２番１８号","03-6904-0657","株式会社　トモズ　代表取締役　德廣　英之","時岡　実由貴","薬局現存"
"ことぶき薬局　大山店","〒173－0034 板橋区幸町２２番５　ＮＯＭＡ入倉１０１号","03-3554-5712","株式会社　ことぶきメディカル　代表取締役　田村　榮壽","十二　隆夫","薬局現存"
"ことぶき薬局　板橋店","〒173－0004 板橋区板橋一丁目２１番６号　ＴＥ板橋１階","03-3963-2715","株式会社　ことぶきメディカル　代表取締役　田村　榮壽","工藤　恭平","薬局現存"
"薬局マツモトキヨシ　仲宿店","〒173－0005 板橋区仲宿４１番８号","03-3962-5504","株式会社　マツモトキヨシ　代表取締役　大田　貴雄","谷岸　規男","薬局現存"
"スギ薬局　志村坂下店","〒174－0043 板橋区坂下一丁目２１番１４号","03-5918-8672","株式会社　スギ薬局　代表取締役　原　栄一","新井　尚","薬局現存"
"ぶらいと薬局　中板橋店","〒173－0016 板橋区中板橋７番６号","03-5944-1691","合同会社　Ｆｉｅｓｔａ　代表社員　釼持　和雄","釼持　和雄","薬局現存"
"松野薬局","〒173－0023 板橋区大山町５０番２号","03-3956-2481","合資会社　松野薬局　代表社員　近藤　千鶴子","近藤　千鶴子","薬局現存"
"さんさん薬局","〒174－0056 板橋区志村一丁目１３番２号","03-3960-3331","株式会社　サンリッチ　代表取締役　赤津　双葉","宇井　康博","薬局現存"
"セレン薬局","〒173－0032 板橋区大谷口上町３０番１号","03-5964-5277","セレンディピティ　株式会社　代表取締役　岡村　幸彦","土金　伸宏","薬局現存"
"ヒルマ薬局　下板橋店","〒173－0004 板橋区板橋二丁目５番２号　コウシンビル１階","03-5375-2060","有限会社　ヒルマ薬局　代表取締役　比留間　健太郎","河原　宏太","薬局現存"
"調剤薬局ツルハドラッグ　大山駅前店","〒173－0023 板橋区大山町３２番２７号","03-5964-5370","株式会社　ツルハ　代表取締役　鶴羽　順","所　那央子","薬局現存"
"ときわ台薬局","〒174－0071 板橋区常盤台一丁目４４番３号","03-6454-9470","合同会社　星薬局　代表社員　秋元　敦夫","秋元　晴衣","薬局現存"
"りおん薬局　蓮沼店","〒174－0052 板橋区蓮沼町２６番２－１０３号","03-5918-7761","株式会社　ＦｉＮＥ　代表取締役　平井　文朗","鎌田　裕之","薬局現存"
"めばえ薬局","〒174－0071 板橋区常盤台四丁目２９番６号　内室マンション１０５","03-6906-4665","小野塚　潤","小野塚　潤","薬局現存"
"薬林堂薬局","〒173－0024 板橋区大山金井町５５番３号　ビューステージ１階","03-3974-3737","みよの台薬局　株式会社　代表取締役　津城　尊利","昆布谷　喜成","薬局現存"
"グリーン薬局","〒173－0004 板橋区板橋二丁目２３番６号　コーポタナカ１階","03-5944-1944","株式会社　友誠堂　代表取締役　鳴坂　康宏","鳴坂　康宏","薬局現存"
"調剤薬局ツルハドラッグ　大山東店","〒173－0014 板橋区大山東町５２番１４号　内田ビル１階","03-6915-5508","株式会社　ツルハ　代表取締役　鶴羽　順","吉田　優","薬局現存"
"ときわ通り星薬局","〒174－0071 板橋区常盤台四丁目１０番２号　１０１号","090-8008-9116","合同会社　星薬局　代表社員　秋元　敦夫","小嶋　崇聖","薬局現存"
"スギ薬局　西台店","〒175－0082 板橋区高島平一丁目７６番９号　初穂マンション西台１階","03-6281-0136","株式会社　スギ薬局　代表取締役　原　栄一","佐野　和樹","薬局現存"
"ウエルシア薬局　板橋四葉店","〒175－0084 板橋区四葉二丁目１０番１号　サンシティ四葉１階","03-5968-3950","ウエルシア薬局　株式会社　代表取締役　水野　秀晴","有賀　竜治","薬局現存"
"ウエルシア薬局　板橋浮間舟渡店","〒174－0041 板橋区舟渡一丁目１３番２３号　レジデンスＢＳ１階","03-5914-6288","ウエルシア薬局　株式会社　代表取締役　水野　秀晴","畑　友翼","薬局現存"
"ウエルシア薬局　板橋新高島平店","〒175－0082 板橋区高島平七丁目１３番４号　榎本ビル新高島平","03-5968-3571","ウエルシア薬局　株式会社　代表取締役　水野　秀晴","髙橋　一史","薬局現存"
"ドラッグセイムス　上板橋南口薬局","〒174－0076 板橋区上板橋二丁目３１番１３号　木下ビル","03-6906-5312","株式会社　スマイルドラッグ　代表取締役　北原　直仁","前沢　孝明","薬局現存"
"ウエルシア薬局　板橋下板橋店","〒173－0004 板橋区板橋一丁目６番５号","03-3579-8833","ウエルシア薬局　株式会社　代表取締役　水野　秀晴","中根　敦子","薬局現存"
"エイワイ薬局","〒175－0094 板橋区成増三丁目２番１２号　ラフォーレ成増１階","03-5998-6371","株式会社　サルース　代表取締役　恩田　貴史","恩田　貴史","薬局現存"
"南山堂薬局　新高島平駅前店","〒175－0082 板橋区高島平七丁目１５番７号　Ｊ．Ｔ．新高島平１階","03-5967-1185","株式会社　南山堂　代表取締役　奥　益","落合　徹也","薬局現存"
"ヤマグチ薬局　砂町店","〒136－0073 江東区北砂五丁目１４番３号　Ｓ－ＡＮＮＥＸ　１０２","03-5690-2601","株式会社　ヤマグチ薬局　代表取締役　山口　重雄","大沢　崇","薬局現存"
"有限会社　東郷堂薬局","〒176－0006 練馬区栄町６番９号","03-3991-0034","有限会社　東郷堂薬局　峯田　英正","峯田　英正","薬局現存"
"株式会社　古関薬局","〒177－0044 練馬区上石神井一丁目１６番１号","03-3920-0437","株式会社　古関薬局　代表取締役　古関　秀夫","古関　秀夫","薬局現存"
